epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1785.36,0.84812,0.49979,0.9442,0.98214,0.96973,0.98418,0.69894,1.03425,0.42126,0.97864,7.66432e-05,7.66432e-05,7.66432e-05
58,1816.85,0.86232,0.51018,0.94534,0.9796,0.97156,0.98403,0.69904,1.02169,0.42159,0.97851,7.49404e-05,7.49404e-05,7.49404e-05
59,1848.13,0.83749,0.50541,0.94405,0.98289,0.96792,0.98349,0.69769,1.04476,0.42215,0.98629,7.32376e-05,7.32376e-05,7.32376e-05
60,1879.37,0.82847,0.49545,0.94297,0.98098,0.97165,0.98363,0.7045,1.02425,0.4183,0.97743,7.15348e-05,7.15348e-05,7.15348e-05
61,1910.61,0.83348,0.50294,0.94366,0.98374,0.97388,0.98474,0.69974,1.03056,0.41772,0.98548,6.9832e-05,6.9832e-05,6.9832e-05
62,1941.59,0.81932,0.49207,0.93572,0.98184,0.96925,0.98401,0.70651,1.002,0.40948,0.97481,6.81292e-05,6.81292e-05,6.81292e-05
63,1972.45,0.82673,0.50142,0.93819,0.98088,0.97304,0.98327,0.70523,1.00953,0.4129,0.97454,6.64264e-05,6.64264e-05,6.64264e-05
64,2003.39,0.81399,0.48899,0.93107,0.98153,0.96959,0.98534,0.69745,1.03924,0.41802,0.9823,6.47236e-05,6.47236e-05,6.47236e-05
65,2034.35,0.80689,0.48508,0.92752,0.98299,0.96937,0.98467,0.69929,1.03598,0.41711,0.97865,6.30208e-05,6.30208e-05,6.30208e-05
66,2065.35,0.79197,0.4717,0.92556,0.98142,0.96959,0.98427,0.70561,1.01165,0.41168,0.97815,6.1318e-05,6.1318e-05,6.1318e-05
67,2096.59,0.79026,0.47886,0.9215,0.98257,0.97191,0.98374,0.70536,1.0209,0.41499,0.98218,5.96152e-05,5.96152e-05,5.96152e-05
68,2127.66,0.79054,0.47648,0.92688,0.9814,0.97179,0.98395,0.70343,1.02735,0.41164,0.98322,5.79124e-05,5.79124e-05,5.79124e-05
69,2158.86,0.7707,0.46462,0.92225,0.98311,0.97136,0.98417,0.7056,1.02458,0.41247,0.97885,5.62096e-05,5.62096e-05,5.62096e-05
70,2190.09,0.77147,0.4658,0.92114,0.98478,0.96826,0.98426,0.70192,1.03101,0.41104,0.98212,5.45068e-05,5.45068e-05,5.45068e-05
71,2221.48,0.77245,0.46763,0.91327,0.98447,0.97023,0.98402,0.70024,1.0299,0.40861,0.98253,5.2804e-05,5.2804e-05,5.2804e-05
