epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2690.67,0.91959,0.51925,0.97715,0.98729,0.97439,0.98644,0.71353,0.9913,0.39555,0.96286,0.000133857,0.000133857,0.000133857
58,2737.45,0.92224,0.52127,0.97535,0.98547,0.97714,0.98782,0.71363,1.00174,0.39399,0.96237,0.000133176,0.000133176,0.000133176
59,2784.27,0.90986,0.5238,0.97448,0.98458,0.9754,0.98673,0.70035,1.05488,0.40935,0.97582,0.000132495,0.000132495,0.000132495
60,2831.11,0.90262,0.51182,0.97666,0.98657,0.97542,0.98734,0.70339,1.02823,0.3994,0.97831,0.000131814,0.000131814,0.000131814
61,2878,0.91046,0.51952,0.97733,0.98657,0.97836,0.98699,0.70991,1.0259,0.40226,0.9711,0.000131133,0.000131133,0.000131133
62,2924.88,0.90518,0.50854,0.97257,0.98685,0.97551,0.98729,0.70667,1.02929,0.40261,0.97251,0.000130452,0.000130452,0.000130452
63,2971.9,0.89384,0.51156,0.96938,0.98699,0.97277,0.98697,0.70535,1.0431,0.40727,0.9787,0.000129771,0.000129771,0.000129771
64,3018.33,0.89043,0.50908,0.96709,0.98916,0.97595,0.98689,0.70462,1.04345,0.40434,0.97688,0.000129089,0.000129089,0.000129089
65,3064.72,0.88101,0.49963,0.96161,0.98864,0.97181,0.9866,0.7037,1.03261,0.40068,0.98096,0.000128408,0.000128408,0.000128408
66,3111.09,0.85993,0.48648,0.96105,0.98702,0.97482,0.9872,0.70888,1.02781,0.40113,0.97033,0.000127727,0.000127727,0.000127727
67,3157.55,0.87058,0.495,0.95459,0.98295,0.98107,0.98753,0.70856,1.02299,0.39302,0.97928,0.000127046,0.000127046,0.000127046
68,3204.24,0.86731,0.48922,0.96011,0.98432,0.97222,0.98546,0.71083,1.01486,0.39323,0.96952,0.000126365,0.000126365,0.000126365
69,3251.09,0.84236,0.48482,0.952,0.98852,0.97493,0.98683,0.70475,1.03929,0.40217,0.97666,0.000125684,0.000125684,0.000125684
70,3298.23,0.85257,0.49737,0.95415,0.98718,0.9747,0.98719,0.70343,1.01914,0.40257,0.98307,0.000125003,0.000125003,0.000125003
71,3344.98,0.84345,0.48698,0.94309,0.98758,0.97494,0.9854,0.70753,1.0204,0.39784,0.98014,0.000124322,0.000124322,0.000124322
72,3391.7,0.82119,0.47502,0.94068,0.98668,0.97628,0.9865,0.70866,1.01549,0.39543,0.97703,0.00012364,0.00012364,0.00012364
73,3438.48,0.82161,0.481,0.93986,0.98739,0.97403,0.98589,0.70927,1.01871,0.39642,0.98305,0.000122959,0.000122959,0.000122959
74,3485.18,0.81495,0.47178,0.93874,0.98653,0.97618,0.98624,0.69969,1.04067,0.39635,0.98369,0.000122278,0.000122278,0.000122278
75,3531.9,0.79765,0.46294,0.9348,0.98535,0.97797,0.98713,0.70859,1.02168,0.39426,0.98434,0.000121597,0.000121597,0.000121597
76,3579.05,0.79612,0.46168,0.93859,0.98667,0.97544,0.98683,0.70941,1.0164,0.39715,0.98053,0.000120916,0.000120916,0.000120916
77,3625.92,0.79077,0.45805,0.928,0.98779,0.97369,0.98804,0.70563,1.04048,0.40269,0.98387,0.000120235,0.000120235,0.000120235
78,3672.73,0.79218,0.4613,0.93996,0.98648,0.97539,0.98714,0.71678,0.99245,0.39333,0.96579,0.000119554,0.000119554,0.000119554
79,3719.71,0.78694,0.46769,0.92634,0.9884,0.9756,0.98829,0.71304,1.01438,0.38792,0.97811,0.000118873,0.000118873,0.000118873
80,3766.53,0.77891,0.45878,0.93071,0.98668,0.97312,0.98765,0.70446,1.03974,0.3937,0.99317,0.000118192,0.000118192,0.000118192
81,3813.24,0.76696,0.45035,0.92892,0.98974,0.97164,0.98727,0.70526,1.05301,0.39578,0.98711,0.00011751,0.00011751,0.00011751
82,3860.38,0.77475,0.45206,0.92992,0.98739,0.97371,0.98752,0.71232,1.00726,0.38118,0.98277,0.000116829,0.000116829,0.000116829
83,3906.86,0.7727,0.4521,0.92685,0.99132,0.97859,0.98752,0.71124,1.01906,0.39062,0.987,0.000116148,0.000116148,0.000116148
84,3953.14,0.7696,0.44928,0.92788,0.98973,0.97556,0.98646,0.71178,0.9919,0.38124,0.98477,0.000115467,0.000115467,0.000115467
85,3999.47,0.75037,0.43822,0.91809,0.99025,0.9757,0.98771,0.69664,1.06214,0.39329,1.00132,0.000114786,0.000114786,0.000114786
86,4045.84,0.75287,0.44177,0.92314,0.98971,0.97794,0.98744,0.70485,1.02865,0.38866,0.98979,0.000114105,0.000114105,0.000114105
87,4092.48,0.7464,0.43346,0.91556,0.98782,0.97563,0.98741,0.69486,1.07474,0.40007,1.00321,0.000113424,0.000113424,0.000113424
88,4139.3,0.73842,0.43893,0.91717,0.98675,0.97505,0.98801,0.7048,1.04638,0.39331,0.99782,0.000112743,0.000112743,0.000112743
89,4186.42,0.73794,0.42673,0.91442,0.98682,0.97206,0.98609,0.7119,1.00639,0.39274,0.98434,0.000112061,0.000112061,0.000112061
90,4233.19,0.72475,0.42628,0.90822,0.98943,0.9762,0.98668,0.70938,1.02296,0.38773,0.99362,0.00011138,0.00011138,0.00011138
91,4279.94,0.72216,0.42431,0.90854,0.98719,0.97394,0.98764,0.70983,1.01698,0.38972,0.99059,0.000110699,0.000110699,0.000110699
92,4326.74,0.71339,0.43058,0.91385,0.98643,0.97318,0.98573,0.71528,0.99117,0.38711,0.98404,0.000110018,0.000110018,0.000110018
93,4373.55,0.73708,0.43287,0.91702,0.98848,0.97458,0.98772,0.71383,1.00059,0.3776,0.98245,0.000109337,0.000109337,0.000109337
94,4420.34,0.69934,0.4175,0.90447,0.98684,0.97529,0.98657,0.71406,0.99987,0.38087,0.98794,0.000108656,0.000108656,0.000108656
95,4467.41,0.7066,0.43008,0.90828,0.98733,0.97574,0.98793,0.71608,0.99676,0.37785,0.97853,0.000107975,0.000107975,0.000107975
96,4514.23,0.69038,0.41126,0.89686,0.98732,0.97437,0.98587,0.71791,0.98429,0.37932,0.98932,0.000107294,0.000107294,0.000107294
97,4561.28,0.68836,0.41233,0.90408,0.98708,0.97201,0.98559,0.70645,1.02578,0.38864,0.99762,0.000106612,0.000106612,0.000106612
98,4608.23,0.67678,0.40247,0.89535,0.9885,0.97469,0.98688,0.70651,1.04045,0.38641,0.9985,0.000105931,0.000105931,0.000105931
99,4655.09,0.68355,0.41036,0.89944,0.9891,0.97399,0.98847,0.71996,0.99083,0.37619,0.99166,0.00010525,0.00010525,0.00010525
100,4702.2,0.68332,0.40835,0.89784,0.98924,0.97627,0.98678,0.70964,1.01867,0.37444,0.99282,0.000104569,0.000104569,0.000104569
101,4748.96,0.67543,0.40009,0.8931,0.98843,0.97368,0.98501,0.71569,1.01316,0.37709,0.98927,0.000103888,0.000103888,0.000103888
102,4795.75,0.67635,0.40082,0.89906,0.98802,0.97677,0.98599,0.71332,1.01235,0.3803,0.99174,0.000103207,0.000103207,0.000103207
103,4842.08,0.65799,0.39512,0.89524,0.98959,0.97841,0.98728,0.71817,0.99575,0.37085,0.99194,0.000102526,0.000102526,0.000102526
104,4888.46,0.6625,0.4049,0.89423,0.98838,0.97659,0.98721,0.70841,1.00647,0.37978,0.99768,0.000101845,0.000101845,0.000101845
105,4934.92,0.66054,0.40551,0.89716,0.98966,0.97431,0.98582,0.70688,1.02571,0.38138,0.99594,0.000101164,0.000101164,0.000101164
106,4981.75,0.65125,0.39336,0.8876,0.98956,0.97534,0.98625,0.71239,1.01157,0.37767,0.99727,0.000100482,0.000100482,0.000100482
107,5028.62,0.64049,0.3885,0.88753,0.98911,0.9745,0.98645,0.7091,1.03427,0.38162,0.99673,9.98013e-05,9.98013e-05,9.98013e-05
108,5075.71,0.65067,0.39508,0.89236,0.98893,0.9772,0.98589,0.7224,0.9796,0.37112,0.98558,9.91202e-05,9.91202e-05,9.91202e-05
109,5122.78,0.64461,0.38833,0.88367,0.99004,0.97671,0.98677,0.71338,1.01847,0.3821,0.99476,9.8439e-05,9.8439e-05,9.8439e-05
110,5169.58,0.62693,0.38541,0.88506,0.98533,0.97226,0.98691,0.71502,1.01401,0.37908,0.98658,9.77579e-05,9.77579e-05,9.77579e-05
111,5216.33,0.63972,0.39254,0.88657,0.98985,0.97549,0.98744,0.72148,0.98482,0.36989,0.9838,9.70768e-05,9.70768e-05,9.70768e-05
112,5263.1,0.6372,0.39254,0.88512,0.98923,0.97578,0.987,0.71725,1.00568,0.37846,0.98715,9.63957e-05,9.63957e-05,9.63957e-05
113,5309.88,0.63182,0.38866,0.88466,0.98742,0.97213,0.98659,0.71778,1.00089,0.38324,0.99301,9.57146e-05,9.57146e-05,9.57146e-05
114,5356.73,0.61629,0.3773,0.87913,0.98988,0.97509,0.9864,0.71429,1.00462,0.37559,0.99554,9.50334e-05,9.50334e-05,9.50334e-05
115,5403.43,0.61298,0.37589,0.8792,0.98989,0.97654,0.98687,0.717,1.01077,0.37946,0.99321,9.43523e-05,9.43523e-05,9.43523e-05
116,5450.04,0.61619,0.38005,0.87634,0.98975,0.97799,0.98808,0.72541,0.97548,0.37143,0.98696,9.36712e-05,9.36712e-05,9.36712e-05
117,5497.16,0.61011,0.37812,0.87393,0.9878,0.9758,0.98688,0.7147,0.99993,0.37974,0.99582,9.29901e-05,9.29901e-05,9.29901e-05
118,5543.9,0.60442,0.37593,0.87943,0.98869,0.9731,0.98645,0.70656,1.03386,0.39052,1.00472,9.2309e-05,9.2309e-05,9.2309e-05
119,5590.61,0.59592,0.37432,0.87184,0.98714,0.97351,0.98531,0.70466,1.02471,0.38826,1.00287,9.16278e-05,9.16278e-05,9.16278e-05
120,5637.25,0.58555,0.36747,0.8707,0.98732,0.97625,0.98383,0.70747,1.01739,0.37796,1.00113,9.09467e-05,9.09467e-05,9.09467e-05
121,5683.98,0.59889,0.37657,0.87792,0.98794,0.97311,0.98446,0.71427,1.00521,0.37895,0.99247,9.02656e-05,9.02656e-05,9.02656e-05
122,5730.67,0.58628,0.36917,0.87031,0.98655,0.97357,0.98491,0.7135,0.98918,0.37718,0.98984,8.95845e-05,8.95845e-05,8.95845e-05
123,5777.29,0.60162,0.37625,0.88018,0.98953,0.9743,0.98584,0.70676,1.03158,0.38339,0.9989,8.89034e-05,8.89034e-05,8.89034e-05
124,5824.06,0.59165,0.36827,0.87398,0.98997,0.97403,0.98697,0.71059,1.02079,0.38094,1.00132,8.82222e-05,8.82222e-05,8.82222e-05
125,5870.74,0.57809,0.36337,0.86759,0.98752,0.97531,0.98676,0.71071,1.02961,0.38794,1.00709,8.75411e-05,8.75411e-05,8.75411e-05
